,text,Last Name
0," News from Congressman John Moolenaar My team and I will soon have a new office and a new phone number to serve you. Starting on December 27 , the new phone number will be 989-802-6040. Then, on January 3 , the new office address will be: 431 North McEwan Street Clare, MI 48617 My team and I have helped Michigan residents when they have needed assistance with a federal agency. We look forward to continuing that work in the new year and if you need help, please reach out using the contact information above. You can also submit your information using this form on my website. It is an honor to serve as your representative and I look forward to serving you in the new year. Sincerely, John EMAIL UPDATE By subscribing to my email updates, you are authorizing me to send regular email updates from my office to your email account. CONNECT WITH ME ON Washington D.C. Office 246 Cannon HOB Washington, D. C. 20515 Phone: (202) 225-3561 Fax: (202) 225-9679 Clare Office 431 North McEwan Street Clare, MI 48617 Phone: (989) 802-6040   | Privacy Policy ",Moolenaar
1," News from Congressman Brian Mast HONORING THE HEROES OF THE BENGHAZI ATTACK   - A decade has passed since terrorists led a mob that attacked American diplomatic compounds in Benghazi, Libya. This senseless attack killed four Americans who were defending the United States' consulate. U.S. Ambassador J. Christopher Stevens was the first United States Ambassador to lose his life in the line of duty since 1979. United States Foreign Service officer and Air Force veteran Sean Smith, as well as combat-decorated Navy SEALs Tyrone S. Woods and Glen Doherty also gave their lives in defense of our nation. Last month, Congress passed a bipartisan bill I wrote to posthumously award these four Americans the Congressional Gold Medal, which is the highest civilian honor the Congress has to offer. This recognition is long overdue for four heroes who gave their last breath fighting to advance the cause of freedom around the globe, and I cannot think of more deserving recipients of the Gold Medal. LEARN MORE To learn more about my work on your behalf, please visit my website . For more photos and videos, please join me on social media: It is an honor to represent you in Congress. Sincerely, Brian Mast United States Congressman   | Privacy Policy Click here to open this e-mail in its own browser window Click here to open a plain text version of this email ",Mast
2," A message from Congresswoman Ann Wagner About Contact Services Media Center Issues Dear , Happy New Year! Ray and I pray for a healthy and safe New Year for you and your loved ones. Tomorrow, we will be sworn-in to the new Congress, and I assure you my colleagues and I are ready to implement a commonsense, conservative agenda that will preserve our core values while addressing the runaway inflation that has hurt so many families in Missouri. I am going to protect the precious right to life and will introduce legislation to ensure babies who survive an abortion get the medical care they urgently need. One of our first major priorities is to fix the Biden economic crisis and help make your life easier. We will also fight to secure our border and work to stop big government overreach and overregulation. Click here to read more about our agenda. As part of my commitment to serving you, I want to hear your thoughts on what we need to focus on in the new Congress. Take my issue survey here or email us here to let me know what is important to you. My office is ready to serve you if you have a casework issue or need help with a federal agency. We can assist you with getting benefits you have earned, help with Medicare or the IRS, and even help you expedite your passport. Click here if you need assistance. Sincerely, Ann Wagner Member of Congress Washington, DC Office 2350 Rayburn House Office Building Washington, DC 20515 Phone: 202-225-1621 Ballwin District Office 301 Sovereign Court Suite 201 Ballwin, MO 63011 Phone: 636-779-5449 Click here to open this e-mail in its own browser window Click here to open a plain text version of this email If you no longer want to receive these emails, please click here to  . Please DO NOT reply to this email. It is sent from an unmonitored account. to share your thoughts visit my webpage ",Wagner
3," Dear  , Happy New Year! I hope your holiday season was spent with family and friends. Tomorrow, Members of the 118th Congress will be sworn in and I will no longer be your Representative. I want to make sure hardworking families in Arizona's First Congressional District continue to have access to high quality constituent services. If you are having an issue with a federal program or agency, like Medicare, Social Security, or the VA, and are in need of casework assistance, you can contact your new Representative or either Arizona Senator. Contact information: Get assistance from Senator Kelly's office HERE . Office locations and phone numbers for Senator Kelly's offices are available HERE . Get assistance from Senator Sinema's office HERE . Office locations and phone numbers for Senator Sinema's offices are available HERE . Find your new House Representative HERE . Throughout my years in the House of Representatives, I've fought to make the voices of rural Arizona heard in Washington. Whether or not we agreed politically, I hope you and your community felt heard and respected by Team O'Halleran. It has been the honor of my life to serve you in Congress. Thank you. Safe home, Tom O'Halleran ‌ ‌ ‌ ‌ Rep. O'Halleran | 318 Cannon House Office Building , Washington, DC 20515   @ Update Profile | Constant Contact Data Notice Sent by repohalleran@ ",O’Halleran
4," Commitment to service is part of the tapestry of Mississippians Commitment to service is part of the tapestry of Mississippians Dear  ,For me, service to my country started early in my adult life. Thirty-four years ago, I enlisted in the United States Marine Corps. Service was a common, familial rite of passage: my father, uncles, grandfather, and brother all served with distinction both at home and in battles abroad. My family instilled in me the importance of service, sacrifice, and putting your community first. Over my career, I have worked day in and day out to make my family, friends, and community proud of that service. As my sixth term in Congress ends, and I reflect on my nearly two decades of elected service, including my time in the State Legislature, I can't help but be sentimental. The honor bestowed on me that you elected me to carry the immense responsibility as your representative in Washington, D.C. is incalculable. Despite the enormous challenges and polarizing infighting our country has faced over my time in office, I remained resolute in serving with the conservative Christian principles that guide us as South Mississippians. It gives me solace to know that there will be lasting and transformational reminders of all we have achieved these past years-- funding for critically needed I-10 expansion in Harrison and Hancock Counties that will alleviate traffic and provide for economic development, state-of-the-art new construction for a repair and tank maintenance facility at Camp Shelby and expanding ship and boat yards in Harrison and Jackson Counties, to name a few. There are also lesser-known stories of helping over 60,000 veterans and constituents with the federal government in their most dire times of need. None of these outcomes would have been possible without the efforts of the dedicated and determined staff who served alongside me over the widget Website | About | Contact Me | Serving You | Media Center | Our District January 2, 2023 Contact Steven Commitment to service is part of the tapestry of Mississippians Dear   , For me, service to my country started early in my adult life. Thirty-four years ago, I enlisted in the United States Marine Corps. Service was a common, familial rite of passage: my father, uncles, grandfather, and brother all served with distinction both at home and in battles abroad. My family instilled in me the importance of service, sacrifice, and putting your community first. Over my career, I have worked day in and day out to make my family, friends, and community proud of that service. As my sixth term in Congress ends, and I reflect on my nearly two decades of elected service, including my time in the State Legislature, I can't help but be sentimental. The honor bestowed on me that you elected me to carry the immense responsibility as your representative in Washington, D.C. is incalculable. Despite the enormous challenges and polarizing infighting our country has faced over my time in office, I remained resolute in serving with the conservative Christian principles that guide us as South Mississippians. It gives me solace to know that there will be lasting and transformational reminders of all we have achieved these past years-- funding for critically needed I-10 expansion in Harrison and Hancock Counties that will alleviate traffic and provide for economic development, state-of-the-art new construction for a repair and tank maintenance facility at Camp Shelby and expanding ship and boat yards in Harrison and Jackson Counties, to name a few. There are also lesser-known stories of helping over 60,000 veterans and constituents with the federal government in their most dire times of need. None of these outcomes would have been possible without the efforts of the dedicated and determined staff who served alongside me over the years. Congressman Palazzo's final staff (L to R) Kathy Thomas-Biloxi, MS; Michele Gargiulo-Gulfport, MS; Brenna Holder-Petal, MS; Cindy Kenny-Bay St. Louis, MS; Courtney Stevens-Washington, DC; Congressman Palazzo; Shane Maxwell-Biloxi, MS; Anita Bourne-Hattiesburg, MS; Debra Hembree-Vancleave, MS; Riley Thomas-Biloxi, MS I have not slowed down working for you this Christmas season. As Congress passed the Omnibus Appropriations bill, I ensured it included key community funding projects supporting economic development mega sites, law enforcement, hospital capacity, road construction, port deepening/widening, and emergency operations centers. It is just part of the job you elected me to do, but as a south Mississippian, these will also improve our community for years to come. Over the last twelve years in office, my children have grown and are now in college. I have lost friends and family members, including my beloved father. They say that with age comes wisdom, and though much has changed, one thing I've always known is that Mississippi is and will always be home. As I return to private life, I welcome being in the community that has given me so much. I'll strive to keep our home vibrant and well and always maintain my heart toward service. Most of all, I want to thank you, the people of South Mississippi, for placing your trust in me to serve you. You are the heartbeat of this country. I have done my very best to give my all in service, and it has been worth every moment. God bless South Mississippi, and God bless the United States of America. In your service, NOTE: Please DO NOT respond to this email as this inbox is unattended. To contact my office please click here   | Privacy Policy | Contact Us Enews Sign Up Click Here to view this email in your browser Click Here to be removed from this list ",Palazzo
5," News From Congressman Ben Cline Sixth District Perspectives with Congressman Ben Cline A Time for Reflection and a Look Ahead to a Bright Future The Christmas and holiday season is a time of celebration, and the New Year a time of reflection. Although we are looking forward to the 2023 legislative calendar and to tackling the critical issues confronting our Nation, I wanted to take a moment to update you on my office's efforts on your behalf these past twelve months. It's always great to hear more about the issues most concerning to folks from a variety of sectors across our district, and great Commonwealth. In my D.C. office, I enjoyed meeting with members of the Virginia Restaurant and Travel Association and listening to their views on how federal policies have affected their industry. Working for You While my D.C. office handles the legislative issues I tend to in the House of Representatives, as well as my responses to your legislative inquiries, my four District offices are located in Harrisonburg, Staunton, Lynchburg, and Roanoke. There, my staff assists constituents in communicating with federal agencies, such as the Social Security Administration, the Department of Veterans Affairs, and the Internal Revenue Service. My office and I also handle congressional nominations to one of four United States Service Academies, in addition to an array of other services carried out by my D.C. and District offices, such as offering Capitol flag sales, D.C. tours, and more listed on my website . My team and I have worked hard to serve Virginia's Sixth District, meet with constituents, answer questions, and provide assistance, and the results in 2022 speak for themselves: 73,745 constituent letters, calls, and emails answered 9 in-person Town Halls were held across the district 43 events attended across the district 32 businesses toured across the district 15 schools visited 2,116 constituent cases with federal agencies completed 92 Mobile Office Hours held for constituents to meet directly with my staff During one of my town halls in Page County, I was glad to take constituents' questions and hear their concerns. Legislative Accomplishments In serving on the House Appropriations and Budget Committees, my office was committed to ensuring taxpayer dollars were spent in the best interests of the American people. During the Appropriations full committee mark-up hearings, I offered a total of 15 amendments to improve 7 of the 12 spending bills, and had my language adopted 3 times throughout the process. Throughout the 117th Congress, I was proud to introduce 13 bills, 8 of which were bipartisan. Of that, 3 bills where I served as the lead Republican were passed and signed into law, either as standalone legislation or as part of a larger legislative package: - H.R. 1651 - COVID-19 Bankruptcy Relief Extension Act of 2021 extends existing provisions that provide relief to debtors in bankruptcy, including those related to the COVID-19 pandemic. - H.R. 7494 - Small Business Reorganization Technical Corrections Act modifies provisions related to small business reorganization bankruptcies, provides that a small business debtor includes a debtor that is an affiliate of certain publicly traded companies, and authorizes the bankruptcy trustee to operate the business of the debtor if the debtor ceases to be a debtor in possession. - H.R. 8017 - VA Workforce Investment and Expansion Act expands the VA workforce by enhancing VA hiring practices and incentives to better recruit and retain healthcare professionals, and strengthen Veteran access to quality VA healthcare. Additionally, I cosponsored 301 bills that focus on a wide array of issues including, but not limited to, Veterans, healthcare, pro-life, government reform, education, the COVID-19 vaccine mandate, and agriculture. For a full list of legislation I sponsored and/or cosponsored, click here . One of the bills I was most proud to cosponsor and secure a provision in - regarding bolstering VA healthcare hiring practices and expanding access to care, especially for rural areas like ours - was the historic PACT Act . This legislation finally brought justice for, and expanded benefits to, Veterans and their families who were burn pit victims sickened in Iraq and Afghanistan, in addition to Vietnam Veterans exposed to toxic chemicals. Lastly, this year I joined 167 letters pursuant to Congress' constitutional oversight responsibility to ensure Federal agencies are working for the American people. Further, I led and was joined by my colleagues in sending 8 letters to the Biden administration demanding accountability, from ensuring Congress' allocated infrastructure funds are spent on core roads and bridges first rather than Green New Deal priorities, to soliciting immediate answers as to how Immigration and Customs Enforcement (ICE) will solve the crisis of the near 50,000 illegal immigrants released in six months who received 'Notice to Reports' but failed to re-check in with authorities. Finally, I led in writing to the National Park Service to call for the prioritization of our troops, Veterans, and Gold Star families in accessing some of the most exclusive and scenic views of our national parks, as they earned such privileges. District Travels While what's largely seen on national news platforms centers around the hearings and votes on Capitol Hill, a representative's work in his or her district is the most vital part of the job. The district is where we interact with constituents, local leaders, and small business owners to be able to represent their views in Washington. It's where both the constituents we represent and our loved ones reside. It's the place we call home. First, ahead of the 2023 Farm Bill, I hosted two farm tours in our district. Virginia's Sixth District is the largest agriculture district in the Commonwealth, where farming is the number one industry. I enjoyed speaking with farmers, agriculture industry leaders, and workers in the northern part of the district in the spring, and in the southern part of the district this past fall. Touring Huffman Livestock Margaret Ann Smith Farm in Lexington where they discussed their purchasing and selling of feeder cattle Additionally, I held my annual Higher Education Roundtable at Blue Ridge Community College's Weyers Cave Campus. VA-06 houses more institutions of higher education than almost any other Congressional district in the Nation. These colleges and universities offer a variety of vocational, undergraduate, and graduate programs for students in Virginia and across the country who come to the Sixth District for their education. College and university presidents and leaders joined me there to discuss successes and challenges in higher education, including the need to ease the costs of higher education, without non-college grads bailing out the student loan debt of others. Meeting with VA-06 college and university presidents and academic leaders Engaging with our Nation's future generation of leaders is always a favorite opportunity of mine, whether it be reading to students, talking to government classes, or speaking at school events. I was proud to visit 15 schools throughout the district this year, and look forward to meeting more of our incredible young people this coming year. Talking to students in a government class at Patrick Henry High School in Roanoke One of my privileges as your Representative is to highlight the incredible achievements of VA-06 residents on the House floor. Whether it be high school or college sports championship wins, volunteer and charitable recognitions, or paying tribute to those who have served, I have been proud to recognize constituents' many accomplishments this year. Congratulating retired Master Sergeant Silverine James for the naming of the Salem VAMC Women's Health Clinic in her honor Visiting small and large businesses across the district serves as a reminder that government must not obstruct but foster economic growth. This past year, I had the opportunity to tour 32 local businesses up and down VA-06, like BWXT Technologies in Lynchburg and Modine Manufacturing in their newly renovated Rockbridge facility. All of our hardworking businesses are critical to job creation and economic growth, and I'll continue fighting in Washington to ensure they can thrive. Touring Modine Manufacturing in their newly renovated Rockbridge facility Visiting Deb's Frozen Lemonade in Cave Spring as part of celebrating National Small Business Week One of my greatest honors is meeting with Sixth District Veterans. Whether it be in local VFWs or in large gatherings, such as for Veterans Day, Memorial Day, and 9/11 remembrance ceremonies, it is always a privilege to thank, recognize, and fight for those who fought for us. Honoring and spending some time with Veterans at the Shenandoah County Fairgrounds in Woodstock Greeting Grottoes councilman and Veteran Jim Justis at the Grottoes Veterans Day ceremony Joining Veterans at Chapter 936 of the Vietnam Veterans of America in Edinburg for one of their monthly meetings Meetings with Constituents in Washington Engaging with constituents in the people's House of Representatives and hearing their concerns is always a great reminder of why I came to Washington. I enjoy listening to constituents' views on the issues that are most important to them, and hearing how I can best represent and advocate for their priorities in these very halls. Meeting with representatives of VA-06 Boys & Girls Clubs of America Hosting members of the National Turkey Federation Celebrating faith and freedom at the Bible Museum in Washington with students from Liberty University Thank you for the opportunity to serve as your Congressman. If my office can ever be of assistance, please contact my Washington office at (202) 225-5431. For the latest updates from Washington and across the Sixth District, please follow my Facebook and Twitter pages. From my family to yours, Merry Christmas, Happy Holidays and New Year, and best wishes in 2023 to you and yours! Washington D.C. 2443 Rayburn HOB Washington, DC 20515 Phone: (202) 225-5431 Harrisonburg Office 70 N Mason St Suite 110 Harrisonburg, VA 22802 Phone: (540) 432-2391 Lynchburg Office 916 Main St Suite 300 Lynchburg, VA 24504 Phone: (434) 845-8306 Roanoke Office 10 Franklin Rd SE Suite 510 Roanoke, VA 24011 Phone: (540) 857-2672 Staunton Office 117 S Lewis St Suite 215 Staunton, VA 24401 Phone: (540) 885-3861 Please do not reply to this email. To share your thoughts please visit my website .   ",Cline
6," About Contact Issues Media Services For regular updates on my work in Washington and information on when I'll be in your neighborhood, sign up here for my e-newsletter. Friends, I hope you and your family are staying safe and well this holiday season. As you may know, my time as your Congresswoman is coming to a close. From the bottom of my heart, I want to thank you for trusting me to bring your voice to Washington for the last four years. From securing derecho relief to making the biggest investment in our infrastructure since the New Deal to lowering prescription drug costs and fighting climate change, we made incredible progress for Iowa families that will continue to deliver well into the future. It has been an honor to represent Iowa's Third Congressional District in Congress, and I am so thankful to have met everyone who participated in my town halls and roundtables, or reached out to my office for help, advice, and resources. I wish you all the best. Take care, Cindy Axne To   from updates from my office, click here. ",Axne
7," As we enter 2023, I remain grateful for the opportunity to represent Utahns in Washington and help tackle some of the biggest issues facing our great country. To continue being transparent and accountable to you, I've put together a report detailing my efforts in Washington this past year. I had several bills become law this year, including legislation that amplifies the work being done by the State of Utah to save the Great Salt Lake, equips the U.S. to better counter the rise of China, and allows for the completion of the Bonneville Shoreline Trail. I also continued working to address the drought and water issues plaguing communities across Utah. The Romney team assisted with more than 1,600 Utahns with casework claims, responded to more than 81,000 pieces of constituent mail, and met with hundreds of Utahns and businesses throughout the state. It is an honor to serve the people of our state. If you have suggestions and counsel for me, please do not hesitate to write or email me at my website . I wish you and your family the very best for a healthy, safe new year. The full 2022 Policy Highlights report can be found here . ",Romney
8," A Hui Hou From Team Kahele Congressman Kahele and his senior staff would like to share a video message to thank the constituents and communities throughout the 2nd Congressional District of Hawaiʻi. WATCH HERE U.S. CONGRESSMAN KAHELE'S TERM IN CONGRESS ENDS Hilo, HI -U.S. Congressman Kaialiʻi Kahele's term in the 117th Congress will come to an end the morning of Tuesday, January 3, 2023. Highlighted as the most productive Congress since President Johnson's Great Society accomplishments two generations ago-and under the leadership of President Joe Biden and Democratic control of both chambers of Congress-the 117th Congress delivered historic results for the American people and the State of Hawaiʻi. Major pieces of federal legislation enacted into law include: The American Rescue Plan The Infrastructure Investment & Jobs Act The Inflation Reduction Act The CHIPS and Science Act The Honoring our PACT Act The Safer Communities Act The Respect for Marriage Act In addition, Congressman Kahele delivered over $26 million dollars in community project federal funding to Hawaiʻi's 2nd Congressional District to support nonprofits, county and state priority projects, and Federally Qualified Health Centers on every island throughout Hawaiʻi. Only the 18th person to ever serve in Congress representing the State of Hawaiʻi since Statehood, Congressman Kahele's time in elected office comes to an end after serving one term in Congress & two terms in the Hawaiʻi State Senate following the untimely death of his father, the late State Senator Gilbert Kahele. At the conclusion of the 117th Congress, Congressman Kahele will immediately return to full time employment as a Hawaiian Airlines Airbus A330 Captain and continue his service to Hawaiʻi and the Nation as a Lt Colonel in the Hawaiʻi Air National Guard, where he currently is a graduate student in the United States Army War College at Carlisle Barracks in Pennsylvania. D.C. Office 1205 Longworth House Office Building Washington, DC 20515 Phone: (202) 225-4906 Fax: (202) 225-4987 Hawaiʻi Office 99 Aupuni St Suite 118 Hilo, HI 96720 Phone: (808) 746-6220 Rep. Kahele | 1205 Longworth House Office Building , Washington, DC 20515   @ Update Profile | Constant Contact Data Notice Sent by repkahele@ ",Kahele
9," Thank you for your support Dear friend, When I was first elected to Congress, I jotted down a list of goals I hoped I would accomplish while serving you. As I cleaned out my office, I came across an old, coffee-stained list, and I couldn't help but smile as I read through the bulleted note. On that list? Building an exceptional constituent service program, securing generous federal funding to support local projects and developing innovative and practical solutions to the real problems people in our region face every day. I'm proud that I never lost sight of what I came to Washington to do. My team was honored for having the best constituent service program of any Democrat in Congress - with more than 6,800 cases closed and more than $5.3 million returned directly to residents. I was the top House Democrat to bring home community project funding to our towns and cities last year and delivered $56 million to improve our communities . Among these investments were $1 million to demolish the former Harrison School in Peoria, $300,000 for a new outpatient behavioral health care clinic at Rosecrance in Freeport and $750,000 for the YMCA of Rock River Valley Equity Center in Rockford. And throughout my five terms, I've championed commonsense, bipartisan legislation - with real results. That includes legislation signed into law that will protect our roadside first responders , provide year-round Pell Grants to students and restore the rights of sexual assault and sexual harassment survivors to seek justice and speak out . While there are many legislative victories I was proud to accomplish, I always kept the people I served back home at the center of everything I did. Our Congressional District is a special place. But its true beauty lies in the heart of our people. I have been privileged to represent some of the most hard-working and passionate individuals - who are the backbone of our nation. I learned many lessons during my time in public service, but one of the most important is that anyone can make a positive difference in the lives of those around them. As I say farewell, I encourage you all to look at the talents you hold and see how you can best serve others. We have been a team for the past 10 years, and I can't thank you enough for placing your trust in me for five terms. It's been my honor to serve you in Congress. Until next time, Cheri Contact Me Washington, D.C. 1233 Longworth House Office Building Washington, DC 20515 Phone: 202-225-5905 Rock Island 2401 4th Ave Rock Island, IL 61201 Phone: (309) 786-3406 Fax: (309) 786-3720 Rockford 119 N. Church St. Suite 101 Rockford, IL 61101 Phone: (815) 968-8011 Rep. Bustos | 1233 Longworth House Office Building , Washington, DC 20515   @ Update Profile | Constant Contact Data Notice Sent by repbustos@ ",Bustos
